image_path,label,brand,model,year,filename,L_real_m,W_real_m,H_real_m,WB_real_m,Noise_Level_dB
C:\Users\youss\OneDrive\Desktop\ML for me\trainning\Car_Images_Dataset\BMW\328i_2013\Stock\BMW_328i_2013_Stock_1763816756457.jpeg,Stock,BMW,328i,2013,BMW_328i_2013_Stock_1763816756457.jpeg,4.5,1.8,1.4,2.7,77.7
C:\Users\youss\OneDrive\Desktop\ML for me\trainning\Car_Images_Dataset\BMW\328i_2013\Stock\BMW_328i_2013_Stock_1763816770582.jpeg,Stock,BMW,328i,2013,BMW_328i_2013_Stock_1763816770582.jpeg,4.5,1.8,1.4,2.7,77.7
C:\Users\youss\OneDrive\Desktop\ML for me\trainning\Car_Images_Dataset\BMW\328i_2013\Stock\BMW_328i_2013_Stock_1763816784068.jpeg,Stock,BMW,328i,2013,BMW_328i_2013_Stock_1763816784068.jpeg,4.5,1.8,1.4,2.7,77.7
C:\Users\youss\OneDrive\Desktop\ML for me\trainning\Car_Images_Dataset\BMW\328i_2013\Stock\BMW_328i_2013_Stock_1763816795763.jpeg,Stock,BMW,328i,2013,BMW_328i_2013_Stock_1763816795763.jpeg,4.5,1.8,1.4,2.7,77.7
C:\Users\youss\OneDrive\Desktop\ML for me\trainning\Car_Images_Dataset\BMW\328i_2013\Stock\BMW_328i_2013_Stock_1763816805646.jpeg,Stock,BMW,328i,2013,BMW_328i_2013_Stock_1763816805646.jpeg,4.5,1.8,1.4,2.7,77.7
C:\Users\youss\OneDrive\Desktop\ML for me\trainning\Car_Images_Dataset\BMW\328i_2013\Stock\BMW_328i_2013_Stock_1763816818524.jpeg,Stock,BMW,328i,2013,BMW_328i_2013_Stock_1763816818524.jpeg,4.5,1.8,1.4,2.7,77.7
C:\Users\youss\OneDrive\Desktop\ML for me\trainning\Car_Images_Dataset\BMW\328i_2013\Stock\BMW_328i_2013_Stock_1763816893777.jpeg,Stock,BMW,328i,2013,BMW_328i_2013_Stock_1763816893777.jpeg,4.5,1.8,1.4,2.7,77.7
C:\Users\youss\OneDrive\Desktop\ML for me\trainning\Car_Images_Dataset\BMW\328i_2013\Stock\BMW_328i_Stock_1763817260189.jpeg,Stock,BMW,328i,2013,BMW_328i_Stock_1763817260189.jpeg,4.5,1.8,1.4,2.7,77.7
C:\Users\youss\OneDrive\Desktop\ML for me\trainning\Car_Images_Dataset\BMW\328i_2013\Stock\BMW_328i_Stock_1763817275783.jpeg,Stock,BMW,328i,2013,BMW_328i_Stock_1763817275783.jpeg,4.5,1.8,1.4,2.7,77.7
C:\Users\youss\OneDrive\Desktop\ML for me\trainning\Car_Images_Dataset\BMW\328i_2013\Stock\BMW_328i_Stock_1763817424674.jpeg,Stock,BMW,328i,2013,BMW_328i_Stock_1763817424674.jpeg,4.5,1.8,1.4,2.7,77.7
C:\Users\youss\OneDrive\Desktop\ML for me\trainning\Car_Images_Dataset\BMW\328i_2013\Stock\BMW_328i_Stock_1763817432447.jpeg,Stock,BMW,328i,2013,BMW_328i_Stock_1763817432447.jpeg,4.5,1.8,1.4,2.7,77.7
C:\Users\youss\OneDrive\Desktop\ML for me\trainning\Car_Images_Dataset\BMW\328i_2013\Stock\BMW_328i_Stock_1763817435395.jpeg,Stock,BMW,328i,2013,BMW_328i_Stock_1763817435395.jpeg,4.5,1.8,1.4,2.7,77.7
C:\Users\youss\OneDrive\Desktop\ML for me\trainning\Car_Images_Dataset\BMW\328i_2013\Stock\BMW_328i_Stock_1763817436475.jpeg,Stock,BMW,328i,2013,BMW_328i_Stock_1763817436475.jpeg,4.5,1.8,1.4,2.7,77.7
C:\Users\youss\OneDrive\Desktop\ML for me\trainning\Car_Images_Dataset\BMW\328i_2013\Stock\BMW_328i_Stock_1763817438451.jpeg,Stock,BMW,328i,2013,BMW_328i_Stock_1763817438451.jpeg,4.5,1.8,1.4,2.7,77.7
C:\Users\youss\OneDrive\Desktop\ML for me\trainning\Car_Images_Dataset\BMW\328i_2013\Stock\BMW_328i_Stock_1763817439693.jpeg,Stock,BMW,328i,2013,BMW_328i_Stock_1763817439693.jpeg,4.5,1.8,1.4,2.7,77.7
C:\Users\youss\OneDrive\Desktop\ML for me\trainning\Car_Images_Dataset\BMW\328i_2013\Stock\BMW_328i_Stock_1763817441557.jpeg,Stock,BMW,328i,2013,BMW_328i_Stock_1763817441557.jpeg,4.5,1.8,1.4,2.7,77.7
C:\Users\youss\OneDrive\Desktop\ML for me\trainning\Car_Images_Dataset\BMW\328i_2013\Stock\BMW_328i_Stock_1763817442401.jpeg,Stock,BMW,328i,2013,BMW_328i_Stock_1763817442401.jpeg,4.5,1.8,1.4,2.7,77.7
C:\Users\youss\OneDrive\Desktop\ML for me\trainning\Car_Images_Dataset\BMW\328i_2013\Stock\BMW_328i_Stock_1763817444407.jpeg,Stock,BMW,328i,2013,BMW_328i_Stock_1763817444407.jpeg,4.5,1.8,1.4,2.7,77.7
C:\Users\youss\OneDrive\Desktop\ML for me\trainning\Car_Images_Dataset\BMW\328i_2013\Stock\BMW_328i_Stock_1763817445375.jpeg,Stock,BMW,328i,2013,BMW_328i_Stock_1763817445375.jpeg,4.5,1.8,1.4,2.7,77.7
C:\Users\youss\OneDrive\Desktop\ML for me\trainning\Car_Images_Dataset\BMW\328i_2013\Stock\BMW_328i_Stock_1763817446326.jpeg,Stock,BMW,328i,2013,BMW_328i_Stock_1763817446326.jpeg,4.5,1.8,1.4,2.7,77.7
C:\Users\youss\OneDrive\Desktop\ML for me\trainning\Car_Images_Dataset\BMW\328i_2013\Stock\BMW_328i_Stock_1763817448277.jpeg,Stock,BMW,328i,2013,BMW_328i_Stock_1763817448277.jpeg,4.5,1.8,1.4,2.7,77.7
C:\Users\youss\OneDrive\Desktop\ML for me\trainning\Car_Images_Dataset\BMW\328i_2013\Stock\BMW_328i_Stock_1763817450318.jpeg,Stock,BMW,328i,2013,BMW_328i_Stock_1763817450318.jpeg,4.5,1.8,1.4,2.7,77.7
C:\Users\youss\OneDrive\Desktop\ML for me\trainning\Car_Images_Dataset\BMW\328i_2013\Stock\BMW_328i_Stock_1763817453394.jpeg,Stock,BMW,328i,2013,BMW_328i_Stock_1763817453394.jpeg,4.5,1.8,1.4,2.7,77.7
C:\Users\youss\OneDrive\Desktop\ML for me\trainning\Car_Images_Dataset\BMW\328i_2013\Stock\BMW_328i_Stock_1763817457228.jpeg,Stock,BMW,328i,2013,BMW_328i_Stock_1763817457228.jpeg,4.5,1.8,1.4,2.7,77.7
C:\Users\youss\OneDrive\Desktop\ML for me\trainning\Car_Images_Dataset\BMW\328i_2013\Stock\BMW_328i_Stock_1763817459467.jpeg,Stock,BMW,328i,2013,BMW_328i_Stock_1763817459467.jpeg,4.5,1.8,1.4,2.7,77.7
C:\Users\youss\OneDrive\Desktop\ML for me\trainning\Car_Images_Dataset\BMW\328i_2013\Stock\BMW_328i_Stock_1763817461181.jpeg,Stock,BMW,328i,2013,BMW_328i_Stock_1763817461181.jpeg,4.5,1.8,1.4,2.7,77.7
C:\Users\youss\OneDrive\Desktop\ML for me\trainning\Car_Images_Dataset\BMW\328i_2013\Stock\BMW_328i_Stock_1763817462001.jpeg,Stock,BMW,328i,2013,BMW_328i_Stock_1763817462001.jpeg,4.5,1.8,1.4,2.7,77.7
C:\Users\youss\OneDrive\Desktop\ML for me\trainning\Car_Images_Dataset\BMW\328i_2013\Stock\BMW_328i_Stock_1763817464163.jpeg,Stock,BMW,328i,2013,BMW_328i_Stock_1763817464163.jpeg,4.5,1.8,1.4,2.7,77.7
C:\Users\youss\OneDrive\Desktop\ML for me\trainning\Car_Images_Dataset\BMW\328i_2013\Stock\BMW_328i_Stock_1763817465933.jpeg,Stock,BMW,328i,2013,BMW_328i_Stock_1763817465933.jpeg,4.5,1.8,1.4,2.7,77.7
